2,1
1,3
0,2
1,0
2,2
1,1
2,2
0,1
1,2
1,1
3,2
2,1
2,2
1,2
0,2
1,1
1,1
2,1
1,2
1,1
1,2
2,0
1,1
1,1
1,1
2,2
2,2
2,2
0,2
1,1
1,2
0,1
2,2
2,2
2,2
0,2
1,2
2,2
2,3
2,3
2,1
2,1
0,1
1,2
1,1
2,1
1,2
2,2
0,1
1,2
2,9
1,7
1,8
0,6
0,8
2,9
2,8
1,8
0,7
2,8
1,7
0,8
2,8
0,7
2,10
0,8
2,8
0,7
0,8
2,8
2,9
1,7
1,8
2,7
2,7
0,9
2,8
3,9
3,8
2,8
3,7
2,7
2,8
2,7
2,7
1,8
1,8
0,8
3,8
1,9
1,7
2,7
1,8
1,8
2,7
2,7
1,8
1,8
0,8
2,7
1,15
1,14
1,15
2,15
0,15
1,15
1,14
0,15
0,15
2,16
0,17
1,16
1,15
3,15
2,15
1,14
2,16
1,16
1,15
1,15
2,16
1,16
0,16
0,16
0,16
1,16
0,14
0,16
0,16
0,15
0,14
0,14
1,16
1,16
0,16
2,15
1,15
0,15
3,15
0,13
1,16
1,14
3,14
2,14
2,15
1,15
1,14
2,16
0,14
3,15
0,22
0,23
1,21
2,23
0,20
0,21
1,22
1,23
1,23
1,21
0,21
1,22
1,21
1,22
0,22
2,22
2,21
2,22
0,23
1,21
1,21
1,22
2,21
1,24
1,22
0,23
1,21
0,22
1,22
1,21
0,22
1,22
3,21
0,23
0,21
3,21
2,22
2,22
2,21
1,21
0,22
1,22
1,22
3,21
1,23
0,23
1,22
2,22
0,21
1,22
1,29
1,28
2,28
2,29
3,29
1,29
1,29
1,28
2,30
1,30
2,28
2,28
1,30
1,29
2,29
1,30
2,28
1,27
1,29
1,28
0,30
0,29
0,28
1,28
0,31
1,29
2,29
0,29
0,29
3,29
1,29
1,27
2,30
1,29
3,29
0,29
0,29
1,29
0,29
2,29
0,28
1,29
0,29
1,29
1,28
0,28
0,30
2,28
0,29
0,28
2,35
1,36
3,36
1,35
0,34
2,35
0,34
2,37
1,35
2,34
2,36
2,36
1,36
1,35
0,37
2,36
1,36
2,37
0,36
1,36
1,36
0,37
1,36
1,36
1,35
1,37
2,34
1,35
0,35
3,35
2,35
2,36
0,35
1,35
2,36
3,36
0,35
3,36
2,36
2,37
0,34
2,35
1,35
2,35
0,37
0,36
2,35
2,35
1,36
1,35
1,43
0,44
2,43
0,43
1,42
0,42
2,41
0,42
3,44
2,43
2,43
1,42
1,43
2,43
3,43
1,42
2,42
1,43
1,44
1,43
0,43
2,43
2,44
2,42
2,42
0,43
2,43
2,43
2,44
2,43
2,44
1,42
1,41
3,42
2,43
2,42
1,44
2,42
2,44
1,42
2,43
2,43
1,42
2,41
1,41
2,43
1,43
1,43
2,42
1,43
2,49
1,50
0,49
1,49
0,49
1,48
0,50
0,49
0,49
2,51
1,50
1,50
0,49
2,48
2,50
1,49
0,49
0,49
1,48
0,49
1,51
1,49
1,49
1,49
0,48
2,49
0,49
0,49
1,50
0,51
2,49
1,50
2,49
0,49
2,48
1,49
2,50
0,49
1,49
0,48
3,49
1,51
0,49
0,50
1,49
1,49
0,49
1,48
2,50
0,49
1,56
1,57
1,57
0,57
1,58
0,55
1,56
1,56
1,55
0,55
0,56
1,56
1,56
2,57
0,56
0,57
1,55
2,58
1,57
2,55
1,58
2,55
2,56
1,56
1,56
2,56
3,56
0,57
1,56
0,56
1,56
0,57
0,57
1,57
0,57
1,56
1,56
2,58
0,57
2,56
0,56
0,56
2,56
1,57
3,56
0,55
1,57
2,57
3,57
2,57
2,64
1,63
3,64
2,63
2,65
3,63
2,63
1,62
0,62
2,63
2,64
2,62
2,64
3,63
1,63
0,63
2,62
2,63
2,63
2,63
1,63
0,63
2,64
1,62
2,65
1,64
2,64
2,63
2,64
1,64
1,62
2,63
2,63
0,62
1,64
3,65
1,63
3,64
3,63
1,64
1,64
2,63
2,63
1,62
2,65
1,63
2,64
2,64
3,63
0,63
1,71
0,69
1,70
0,70
1,70
2,70
1,70
1,70
1,70
0,69
0,70
1,70
0,70
1,71
2,70
0,71
0,69
0,71
1,70
0,70
0,69
0,72
2,70
0,71
1,70
2,69
0,69
0,70
2,71
0,71
1,71
1,70
3,71
2,71
1,71
2,70
1,71
0,70
1,69
0,71
0,70
0,70
0,69
0,70
2,70
0,71
1,70
0,70
2,70
0,68
1,78
0,78
1,78
0,76
0,75
1,77
1,77
2,78
2,77
1,77
2,76
1,77
2,77
2,77
1,77
0,76
1,77
2,76
0,78
2,78
2,77
1,77
1,79
1,78
2,77
2,76
1,77
2,78
1,77
3,78
1,77
2,78
1,77
1,78
0,77
1,78
1,79
1,76
2,76
2,77
0,76
2,78
2,77
0,77
1,77
1,76
2,77
1,77
0,77
2,76
1,85
1,84
0,84
2,84
1,84
1,85
0,86
1,85
1,84
1,85
1,86
2,84
0,85
1,85
0,84
0,85
0,83
1,84
3,83
1,84
2,83
1,84
0,84
1,85
1,84
0,83
0,84
1,82
2,83
3,86
1,84
0,83
2,84
1,84
